index,Year,Player,Tm,Age,G,GS,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,eFG%,3P%,2P%,FT%,WS/48,OBPM,DBPM,BPM,VORP,PTS_per_game,AST_per_game,TRB_per_game,STL_per_game,BLK_per_game,TOV_per_game,Position,nba_team
67,1989,Kevin Duckworth,POR,24.0,79.0,79.0,33.696,13.9,0.531,0.002,0.369,9.7,16.4,12.9,3.1,1.0,1.1,12.9,22.4,0.477,0.0,0.478,0.757,0.086,-1.7,-2.0,-3.7,-1.1,18.127,0.759,8.038,0.709,0.62,2.532,C,None
68,1989,Joe Dumars*,DET,25.0,69.0,67.0,34.899,16.8,0.571,0.032,0.339,2.8,5.2,4.0,24.3,1.3,0.1,14.6,21.6,0.513,0.483,0.506,0.85,0.14,2.0,-0.8,1.1,1.9,17.188,5.652,2.493,0.913,0.072,2.58,G,None
69,1989,Ledell Eackles,WSB,22.0,80.0,6.0,18.238,15.2,0.519,0.055,0.473,7.2,6.2,6.7,12.6,1.3,0.2,12.6,27.8,0.441,0.225,0.447,0.786,0.07,0.0,-3.0,-3.0,-0.4,11.462,1.538,2.25,0.512,0.062,1.6,G,None
70,1989,Mark Eaton,UTA,32.0,82.0,82.0,35.537,10.6,0.513,0.0,0.491,9.4,21.8,16.1,3.8,0.7,6.5,22.3,9.2,0.462,,0.462,0.66,0.108,-3.1,6.1,3.0,3.7,6.195,1.012,10.28,0.488,3.841,1.732,C,None
71,1989,James Edwards,DET,33.0,76.0,1.0,16.5,11.6,0.547,0.005,0.46,6.4,14.0,10.4,5.7,0.4,1.5,12.4,19.8,0.5,0.0,0.502,0.686,0.109,-1.9,-0.5,-2.4,-0.1,7.303,0.645,3.039,0.145,0.408,0.947,C,None
72,1989,Kevin Edwards,MIA,23.0,79.0,62.0,29.734,12.6,0.46,0.033,0.175,3.9,8.8,6.3,24.3,2.9,0.7,17.1,24.8,0.43,0.27,0.431,0.746,-0.003,-2.1,0.0,-2.1,-0.1,13.848,4.418,3.316,1.759,0.342,3.114,G,None
73,1989,Craig Ehlo,CLE,27.0,82.0,4.0,22.768,13.7,0.528,0.191,0.223,6.4,11.2,8.9,19.2,2.9,0.6,16.8,15.7,0.512,0.39,0.495,0.607,0.118,0.3,2.0,2.3,2.0,7.415,3.244,3.598,1.341,0.232,1.415,G,None
74,1989,Dale Ellis,SEA,28.0,82.0,82.0,38.902,19.7,0.589,0.198,0.27,5.3,6.7,6.0,8.1,1.6,0.4,10.2,26.6,0.549,0.478,0.507,0.816,0.163,4.6,-2.6,2.1,3.3,27.476,2.0,4.171,1.317,0.268,2.659,G,Third
75,1989,Alex English*,DEN,35.0,82.0,82.0,36.463,19.0,0.531,0.004,0.201,4.8,6.5,5.6,19.7,1.0,0.2,8.8,28.8,0.492,0.25,0.492,0.858,0.11,2.5,-2.7,-0.2,1.3,26.524,4.671,3.976,0.805,0.146,2.415,F,None
76,1989,Patrick Ewing*,NYK,26.0,80.0,80.0,36.2,22.1,0.607,0.005,0.378,8.0,20.7,14.2,9.5,1.9,5.6,15.1,23.6,0.567,0.0,0.57,0.746,0.181,1.5,3.2,4.7,4.9,22.688,2.35,9.25,1.462,3.512,3.325,C,None
