PName,POS,GP,MPG,PTS,AST,REB,FG%,3P%,TOV,STL,BLK,+/-
Klay Thompson,SG,69,33.027536231884056,21.869565217391305,2.36231884057971,4.144927536231884,43.6,41.2,1.7826086956521738,0.7101449275362319,0.42028985507246375,163
Kristaps Porzingis,C,65,32.60769230769231,23.153846153846153,2.6769230769230767,8.4,49.8,38.5,2.1076923076923078,0.8923076923076924,1.5384615384615385,80
Darius Garland,PG,69,35.46666666666666,21.594202898550726,7.797101449275362,2.681159420289855,46.2,41.0,2.8840579710144927,1.2318840579710144,0.13043478260869565,438
Franz Wagner,SF,80,32.60875,18.5625,3.5375,4.1125,48.5,36.1,2.0875,0.9625,0.2125,50
Devin Booker,SG,53,34.630188679245286,27.754716981132077,5.528301886792453,4.528301886792453,49.4,35.1,2.7358490566037736,0.9622641509433962,0.33962264150943394,247
Jimmy Butler,SF,64,33.40625,22.90625,5.3125,5.859375,53.9,35.0,1.578125,1.828125,0.328125,47
Anthony Davis,PF,56,34.00892857142857,25.910714285714285,2.642857142857143,12.535714285714286,56.3,25.7,2.1785714285714284,1.0535714285714286,2.0357142857142856,205
Nikola Vucevic,C,82,33.49268292682927,17.646341463414632,3.231707317073171,11.012195121951219,52.0,34.9,1.6951219512195121,0.7317073170731707,0.6951219512195121,-20
Paolo Banchero,PF,72,33.74583333333333,19.958333333333332,3.736111111111111,6.902777777777778,42.7,29.8,2.7777777777777777,0.8333333333333334,0.5416666666666666,-215
RJ Barrett,SG,73,33.91095890410959,19.602739726027398,2.7534246575342465,5.041095890410959,43.4,31.0,2.2465753424657535,0.4246575342465753,0.2054794520547945,-62
Keldon Johnson,SF,63,32.75079365079365,21.984126984126984,2.9047619047619047,5.0476190476190474,45.2,32.9,2.126984126984127,0.7301587301587301,0.1746031746031746,-491
Spencer Dinwiddie,PG,79,34.49746835443038,17.329113924050635,6.518987341772152,3.4177215189873418,43.8,36.9,1.8354430379746836,0.8481012658227848,0.3037974683544304,-8
Kevin Durant,PF,47,35.57021276595744,29.06382978723404,5.0,6.659574468085107,56.0,40.4,3.3191489361702127,0.723404255319149,1.425531914893617,258
Kyle Kuzma,SF,64,34.9828125,21.203125,3.734375,7.234375,44.8,33.3,2.96875,0.5625,0.453125,10
Tyler Herro,PG,67,34.85671641791045,20.104477611940297,4.17910447761194,5.373134328358209,43.9,37.8,2.3582089552238807,0.7611940298507462,0.23880597014925373,170
Buddy Hield,SG,80,31.02375,16.8,2.8125,5.0,45.8,42.5,1.7375,1.15,0.325,-84
Fred VanVleet,SG,69,36.73913043478261,19.347826086956523,7.173913043478261,4.057971014492754,39.3,34.2,2.028985507246377,1.7826086956521738,0.5507246376811594,195
Paul George,F,56,34.62321428571429,23.785714285714285,5.142857142857143,6.107142857142857,45.7,37.1,3.142857142857143,1.4821428571428572,0.35714285714285715,157
Terry Rozier,SG,63,35.25238095238095,21.095238095238095,5.063492063492063,4.111111111111111,41.5,32.7,2.126984126984127,1.1746031746031746,0.25396825396825395,-288
Anfernee Simons,SG,62,35.01129032258064,21.06451612903226,4.080645161290323,2.596774193548387,44.7,37.7,2.064516129032258,0.6774193548387096,0.22580645161290322,-75
Bennedict Mathurin,SG,78,28.492307692307694,16.692307692307693,1.4871794871794872,4.076923076923077,43.4,32.3,1.9487179487179487,0.6153846153846154,0.16666666666666666,-179
Jamal Murray,PG,65,32.821538461538466,19.96923076923077,6.153846153846154,3.953846153846154,45.4,39.8,2.230769230769231,1.0153846153846153,0.24615384615384617,300
Jerami Grant,SF,63,35.642857142857146,20.476190476190474,2.380952380952381,4.492063492063492,47.5,40.1,1.8412698412698412,0.8095238095238095,0.8412698412698413,-35
Jrue Holiday,PG,67,32.57462686567164,19.253731343283583,7.388059701492537,5.08955223880597,47.9,38.4,2.9402985074626864,1.1791044776119404,0.373134328358209,481
Evan Mobley,PF,79,34.37088607594937,16.164556962025316,2.8354430379746836,9.0,55.4,21.6,1.8481012658227849,0.759493670886076,1.5063291139240507,339
Bojan Bogdanovic,SF,59,32.08305084745763,21.576271186440678,2.5762711864406778,3.7796610169491527,48.8,41.1,2.288135593220339,0.576271186440678,0.13559322033898305,-330
Jordan Clarkson,PG,61,32.59508196721311,20.83606557377049,4.426229508196721,4.032786885245901,44.4,33.8,3.0491803278688523,0.5409836065573771,0.21311475409836064,35
D'Angelo Russell,PG,71,32.45211267605634,17.788732394366196,6.154929577464789,3.028169014084507,46.9,39.6,2.619718309859155,0.9859154929577465,0.4084507042253521,85
Josh Giddey,SG,76,31.14868421052632,16.57894736842105,6.171052631578948,7.881578947368421,48.2,32.5,2.776315789473684,0.75,0.40789473684210525,-105
Desmond Bane,SG,58,31.75,21.5,4.379310344827586,5.017241379310345,47.9,40.8,2.1724137931034484,0.9655172413793104,0.3793103448275862,356
Brook Lopez,C,78,30.416666666666668,15.884615384615385,1.2692307692307692,6.666666666666667,53.1,37.4,1.3717948717948718,0.47435897435897434,2.4743589743589745,398
